"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHIVM","2021-12-08","1200","1220","1187","1187","-2.01","12245"
"SHIVM","2021-12-07","1237","1265","1211.3","1211.3","-2.56","7071"
"SHIVM","2021-12-06","1206.2","1250","1206","1243.1","1.23","14686"
"SHIVM","2021-12-05","1225","1247.9","1220.1","1228","-1.37","14899"
"SHIVM","2021-12-02","1271","1275","1235","1245","-2.73","13804"
"SHIVM","2021-12-01","1270","1295","1263","1280","1.99","7844"
"SHIVM","2021-11-30","1242","1300","1241","1255","-0.40","15340"
"SHIVM","2021-11-29","1288","1300","1241","1260","-0.24","11482"
"SHIVM","2021-11-28","1312","1340","1250","1263","-4.32","22784"
"SHIVM","2021-11-25","1344.9","1344.9","1315","1320","-1.27","7120"
"SHIVM","2021-11-24","1300.1","1344.3","1292","1337","1.36","13916"
"SHIVM","2021-11-23","1355","1355","1311","1319","-2.58","11254"
"SHIVM","2021-11-22","1375","1380","1350","1354","-1.46","12952"
"SHIVM","2021-11-21","1301","1400","1298","1374","3.85","27269"
"SHIVM","2021-11-18","1349","1355","1318","1323","-1.64","15031"
"SHIVM","2021-11-17","1355","1380","1345.1","1345.1","0.01","19936"
"SHIVM","2021-11-16","1311","1360","1300","1345","0.67","13782"
"SHIVM","2021-11-15","1338.2","1349","1317","1336.1","1.84","10162"
"SHIVM","2021-11-14","1275","1319","1275","1312","1.31","8822"
"SHIVM","2021-11-11","1317.5","1328","1288","1295","-3.65","23981"
"SHIVM","2021-11-09","1397","1397","1315.1","1344","-3.79","17666"
"SHIVM","2021-11-08","1407","1420","1381","1397","-0.57","15915"
"SHIVM","2021-11-03","1417","1430","1389","1405","1.08","25093"
"SHIVM","2021-11-02","1361","1390","1350","1390","0.65","20370"
"SHIVM","2021-11-01","1453.5","1453.5","1368","1381","-3.09","29540"
"SHIVM","2021-10-31","1352","1430","1350","1425","5.32","34257"
"SHIVM","2021-10-28","1342.7","1395","1342.7","1353","-1.24","9861"
"SHIVM","2021-10-27","1392","1400","1356","1370","-1.23","28671"
"SHIVM","2021-10-26","1330","1387","1318","1387","5.48","31429"
"SHIVM","2021-10-25","1235.9","1379","1212","1315","4.27","21159"
"SHIVM","2021-10-24","1220","1274","1220","1261.1","2.95","23113"
"SHIVM","2021-10-21","1255","1286","1225","1225","-3.91","11576"
"SHIVM","2021-10-20","1234.2","1295","1221","1274.9","5.36","20760"
"SHIVM","2021-10-19","1250","1270","1195","1210","-4.87","36395"
"SHIVM","2021-10-18","1324","1324","1265","1272","-3.93","18290"
"SHIVM","2021-10-17","1315","1325","1293.6","1324","2.64","9077"
"SHIVM","2021-10-11","1358.6","1358.6","1274","1290","-3.15","40674"
"SHIVM","2021-10-10","1395.6","1395.6","1328","1332","-6.46","60501"
"SHIVM","2021-10-06","1398","1430","1375","1424","3.87","19092"
"SHIVM","2021-10-05","1355","1395","1355","1371","1.18","7063"
"SHIVM","2021-10-04","1331.1","1377","1331.1","1355","-0.22","15259"
"SHIVM","2021-10-03","1385","1410","1350","1358","-1.95","14846"
"SHIVM","2021-09-30","1427","1427","1385","1385","-3.01","12752"
"SHIVM","2021-09-29","1407","1428","1378","1428","3.47","19003"
"SHIVM","2021-09-28","1371","1410","1370","1380.1","-0.85","41838"
"SHIVM","2021-09-27","1440","1440","1385","1392","-2.66","22840"
"SHIVM","2021-09-26","1478","1489","1430","1430.1","-3.04","20655"
"SHIVM","2021-09-23","1525","1534","1475","1475","-2.96","17080"
"SHIVM","2021-09-22","1498","1540","1480","1520","3.47","30531"
"SHIVM","2021-09-21","1480","1505","1440","1469","-0.74","32542"
"SHIVM","2021-09-20","1500","1505","1460","1480","-0.74","47762"
"SHIVM","2021-09-16","1524","1531","1490","1491.1","-2.92","51569"
"SHIVM","2021-09-15","1579","1579","1530","1536","-0.87","23076"
"SHIVM","2021-09-14","1570","1580","1540","1549.5","-1.24","22007"
"SHIVM","2021-09-13","1630","1630","1560","1569","-2.24","29942"
"SHIVM","2021-09-12","1545","1605","1515","1605","5.94","30927"
"SHIVM","2021-09-09","1520","1535","1510","1515","-0.20","30801"
